,Ruta,Sitio,A̱o,Camara,Extra,Archivo,Fecha,Hora,Animal_proba,Animal,Guanaco_proba,Guanaco,Validar,Validado,Especie,Cantidad
0,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0212.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0212.JPG,2022-04-30,16:33:02,0.949843,1,0.78779256,1.0,True,0,,
1,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0237.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0237.JPG,2022-04-30,17:50:59,0.99998623,1,0.12465194,0.0,True,0,,
2,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0236.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0236.JPG,2022-04-30,17:50:57,0.9999998,1,0.374187,0.0,True,0,,
3,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0187.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0187.JPG,2022-04-30,16:18:39,1.0,1,0.95337546,1.0,False,1,Guanaco,1
4,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0186.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0186.JPG,2022-04-30,16:18:36,0.9999994,1,0.6799938,1.0,True,0,,
5,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0177.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0177.JPG,2023-03-11,09:52:25,5.980406e-11,0,,,False,1,Guanaco,1
6,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0167.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0167.JPG,2023-03-03,17:19:57,3.1231148e-10,0,,,False,1,Guanaco,1
7,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0173.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0173.JPG,2023-03-03,17:21:49,5.7053768e-08,0,,,False,1,Guanaco,1
8,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0164.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0164.JPG,2023-03-03,17:19:45,7.874175e-09,0,,,False,1,Guanaco,1
9,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0158.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0158.JPG,2023-03-03,17:19:00,2.862671e-09,0,,,False,1,Guanaco,1
10,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0048.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0048.JPG,2023-02-07,15:29:21,1.449636e-06,0,,,False,1,Guanaco,1
11,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0138.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0138.JPG,2023-03-01,15:05:28,8.075944e-08,0,,,False,1,Guanaco,1
12,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0122.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0122.JPG,2023-02-23,15:36:35,0.00036099833,0,,,False,1,Guanaco,1
13,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0028.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0028.JPG,2023-02-09,12:06:59,4.20157e-13,0,,,False,1,Guanaco,1
14,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0006.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0006.JPG,2023-02-11,18:07:34,0.99997425,1,0.2425522,0.0,True,0,,
15,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0012.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0012.JPG,2023-02-13,20:15:47,0.72063696,1,0.0039121266,0.0,True,0,,
16,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0007.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0007.JPG,2023-02-07,16:06:55,4.0753838e-14,0,,,False,1,Guanaco,1
17,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0039.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0039.JPG,2023-02-09,12:24:34,1.955482e-12,0,,,False,1,Guanaco,1
18,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0011.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0011.JPG,2023-02-07,16:07:00,3.827993e-11,0,,,False,1,Guanaco,1
19,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0005.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0005.JPG,2023-02-11,18:07:32,0.9999848,1,0.25222406,0.0,True,0,,
20,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0159.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0159.JPG,2023-05-31,05:41:03,0.8666619,1,0.0063190763,0.0,True,0,,
21,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0004.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0004.JPG,2023-02-07,16:06:44,6.319999e-12,0,,,False,1,Guanaco,1
22,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0010.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0010.JPG,2023-02-13,20:15:44,0.8257604,1,0.0018864574,0.0,True,0,,
23,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0066.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0066.JPG,2023-02-19,17:27:46,0.99998933,1,0.6356811,1.0,True,0,,
24,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0094.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0094.JPG,2023-02-09,13:00:14,1.5601374e-07,0,,,False,1,Guanaco,1
25,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0041.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0041.JPG,2023-02-19,08:57:35,0.9890664,1,0.16628495,0.0,True,0,,
26,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0055.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0055.JPG,2023-02-19,09:53:07,0.9997382,1,0.6859548,1.0,True,0,,
27,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0040.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0040.JPG,2023-02-19,08:57:34,0.9893086,1,0.20950256,0.0,True,0,,
28,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0118.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0118.JPG,2023-02-09,13:39:43,2.1948834e-15,0,,,False,1,Guanaco,1
29,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0084.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0084.JPG,2023-02-19,17:47:48,0.9999547,1,0.4171028,0.0,True,0,,
30,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0021.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0021.JPG,2023-02-15,01:57:36,0.28722236,0,,,True,0,,
31,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0020.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0020.JPG,2023-02-09,11:45:02,6.617843e-13,0,,,False,1,Guanaco,1
32,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0184.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0184.JPG,2023-02-11,12:44:03,1.2955394e-10,0,,,False,1,Guanaco,1
33,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2021/IB1/0-IB1- (805).JPG,Muestreo ct Iberica,2021,IB1,,0-IB1- (805).JPG,2021-04-21,17:12:54,1.0,1,1.6693145e-11,0.0,True,0,,
34,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2021/IB1/0-IB1- (825).JPG,Muestreo ct Iberica,2021,IB1,,0-IB1- (825).JPG,2021-04-22,18:36:27,0.9250343,1,0.1769856,0.0,True,0,,
35,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2021/IB1/1-IB1- (963).JPG,Muestreo ct Iberica,2021,IB1,,1-IB1- (963).JPG,2021-05-11,03:40:56,1.0,1,1.4086542e-05,0.0,True,0,,
36,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct Iberica/2021/IB1/1-IB1- (932).JPG,Muestreo ct Iberica,2021,IB1,,1-IB1- (932).JPG,2021-05-10,15:29:46,0.008641082,0,,,False,1,Guanaco,1
37,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1293).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1293).JPG,2023-04-06,16:00:06,4.4189896e-10,0,,,False,1,Guanaco,1
38,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (275).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (275).JPG,2023-02-19,13:18:46,0.0,0,,,False,1,Guanaco,1
39,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (263).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (263).JPG,2023-02-19,13:15:23,0.0,0,,,False,1,Guanaco,1
40,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (9).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (9).JPG,2023-02-19,11:57:53,0.0,0,,,False,1,Guanaco,1
41,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (2965).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (2965).JPG,2023-02-25,11:37:44,0.0,0,,,False,1,Guanaco,1
42,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1342).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1342).JPG,2023-04-09,12:52:37,1.1768562e-13,0,,,False,1,Guanaco,1
43,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1289).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1289).JPG,2023-04-06,13:05:46,1.0903246e-11,0,,,False,1,Guanaco,1
44,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1309).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1309).JPG,2023-04-07,14:38:58,4.0512874e-11,0,,,False,1,Guanaco,1
45,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (316).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (316).JPG,2023-02-19,13:30:57,0.0,0,,,False,1,Guanaco,1
46,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (2888).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (2888).JPG,2023-02-25,11:02:39,0.0,0,,,False,1,Guanaco,1
47,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (862).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (862).JPG,2023-02-20,08:12:44,0.0,0,,,False,1,Guanaco,1
48,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (70).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (70).JPG,2023-02-19,12:26:02,0.0,0,,,False,1,Guanaco,1
49,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1294).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1294).JPG,2023-04-06,16:06:41,4.4361364e-12,0,,,False,1,Guanaco,1
