Sitio,A̱o,Camara,Cantidad
Muestreo ct Iberica,2021,IB1,62
Muestreo ct Iberica,2021,IB2,22
Muestreo ct Iberica,2021,IB3,7
Muestreo ct Iberica,2021,IB4,34
Muestreo ct Iberica,2021,IB5,19
Muestreo ct Iberica,2021,IB6,71
Muestreo ct Iberica,2021,IB7,14
Muestreo ct Iberica,2021,IB8,10
Muestreo ct Iberica,2022,Ib-22 (1),855
Muestreo ct Iberica,2022,Ib-22 (2),270
Muestreo ct Iberica,2022,Ib-22 (3),60
Muestreo ct Iberica,2022,Ib-22 (4),63
Muestreo ct Iberica,2022,Ib-22 (5),95
Muestreo ct Iberica,2022,Ib-22 (6),705
Muestreo ct Iberica,2022,Ib-22 (7),35
Muestreo ct Iberica,2022,Ib-22 (8),29
Muestreo ct Iberica,2023,Ib1,3662
Muestreo ct Iberica,2023,Ib2,620
Muestreo ct Iberica,2023,Ib3,966
Muestreo ct Iberica,2023,Ib4,165
Muestreo ct Iberica,2023,Ib5,216
Muestreo ct Iberica,2023,Ib6,1602
Muestreo ct Iberica,2023,Ib7,180
Muestreo ct Iberica,2023,Ib8,1548
Muestreo ct sauce,CT S 2020,S1,219
Muestreo ct sauce,CT S 2020,S10,19
Muestreo ct sauce,CT S 2020,S11,64
Muestreo ct sauce,CT S 2020,S13,93
Muestreo ct sauce,CT S 2020,S14,58
Muestreo ct sauce,CT S 2020,S15,126
Muestreo ct sauce,CT S 2020,S16,216
Muestreo ct sauce,CT S 2020,S17,247
Muestreo ct sauce,CT S 2020,S18,40
Muestreo ct sauce,CT S 2020,S19,113
Muestreo ct sauce,CT S 2020,S2,323
Muestreo ct sauce,CT S 2020,S3,81
Muestreo ct sauce,CT S 2020,S4,508
Muestreo ct sauce,CT S 2020,S5,178
Muestreo ct sauce,CT S 2020,S6,34
Muestreo ct sauce,CT S 2020,S7,23
Muestreo ct sauce,CT S 2020,S8,6
Muestreo ct sauce,CT S 2020,S9,5
Muestreo ct sauce,CT S 2021,S1,64
Muestreo ct sauce,CT S 2021,S10,14
Muestreo ct sauce,CT S 2021,S11,20
Muestreo ct sauce,CT S 2021,S13,100
Muestreo ct sauce,CT S 2021,S14,15
Muestreo ct sauce,CT S 2021,S15,110
Muestreo ct sauce,CT S 2021,S16,1021
Muestreo ct sauce,CT S 2021,S17,85
Muestreo ct sauce,CT S 2021,S18,19
Muestreo ct sauce,CT S 2021,S19,56
Muestreo ct sauce,CT S 2021,S2,41
Muestreo ct sauce,CT S 2021,S3,47
Muestreo ct sauce,CT S 2021,S4,62
Muestreo ct sauce,CT S 2021,S5,39
Muestreo ct sauce,CT S 2021,S6,38
Muestreo ct sauce,CT S 2021,S7,2
Muestreo ct sauce,CT S 2021,S8,24
Muestreo ct sauce,CT S 2021,S9,3
Muestreo ct sauce,CT S 2022,S1,689
Muestreo ct sauce,CT S 2022,S10,142
Muestreo ct sauce,CT S 2022,S11,322
Muestreo ct sauce,CT S 2022,S13,800
Muestreo ct sauce,CT S 2022,S14,247
Muestreo ct sauce,CT S 2022,S15,4429
Muestreo ct sauce,CT S 2022,S16,610
Muestreo ct sauce,CT S 2022,S17,1744
Muestreo ct sauce,CT S 2022,S18,780
Muestreo ct sauce,CT S 2022,S19,1089
Muestreo ct sauce,CT S 2022,S2,1335
Muestreo ct sauce,CT S 2022,S3,2140
Muestreo ct sauce,CT S 2022,S4,16580
Muestreo ct sauce,CT S 2022,S5,330
Muestreo ct sauce,CT S 2022,S6,500
Muestreo ct sauce,CT S 2022,S7,234
Muestreo ct sauce,CT S 2022,S8,938
Muestreo ct sauce,CT S 2022,S9,2847
Muestreo ct sauce,CT S 2023,,1
Muestreo ct sauce,CT S 2023,S1,11592
Muestreo ct sauce,CT S 2023,S10,2256
Muestreo ct sauce,CT S 2023,S11,101
Muestreo ct sauce,CT S 2023,S13,472
Muestreo ct sauce,CT S 2023,S14,558
Muestreo ct sauce,CT S 2023,S15,1833
Muestreo ct sauce,CT S 2023,S16,5004
Muestreo ct sauce,CT S 2023,S17,15485
Muestreo ct sauce,CT S 2023,S18,12799
Muestreo ct sauce,CT S 2023,S19,6297
Muestreo ct sauce,CT S 2023,S2,12297
Muestreo ct sauce,CT S 2023,S3,1644
Muestreo ct sauce,CT S 2023,S4,6690
Muestreo ct sauce,CT S 2023,S5,963
Muestreo ct sauce,CT S 2023,S6,1209
Muestreo ct sauce,CT S 2023,S7,12752
Muestreo ct sauce,CT S 2023,S8,17011
Muestreo ct sauce,CT S 2023,S9 (las fotos dicen S8 pero es S9!!!),846
